[FIRs]
;ICAO|NAME|CALLSIGN PREFIX|FIR BOUNDARY
SBAO|Atlantico Oceanic||SBAO
SBRE|Recife||SBRE
SCCZ|Punta Arenas||SCCZ
SCEZ|Santiago||SCEZ
SCFZ|Antofagasta||SCFZ
SCIZ|Pascua||SCIZ
SCTZ|Puerto Montt||SCTZ
SEFG|Guayaquil||SEFG
SGFA|Asuncion||SGFA
SKEC|Barranquilla||SKEC
SKED|Bogota||SKED
SLLF|La Paz||SLLF
SMPM|Paramaribo||SMPM
SOOO|Cayenne||SOOO
SPIM|Lima|LIM|SPIM
; dummy codes for VATSIM callsigns
SPI1|Lima North|SP-N|SPIM
SPI2|Lima South|SP-S|SPIM
SPI3|Lima North East|SP-E|SPIM
SPI3|Lima North East|SP-NE|SPIM
SUEO|Montevideo||SUEO
SVZM|Maiquetia||SVZM
SYGC|Georgetown||SYGC
TJZS|San Juan|SJU|TJZS
TNCF|Curaçao||TNCF
TTZP|Piarco||TTZP
TTZO|Piarco Oceanic||TTZO
UAAA|Almaty||UAAA
UACN|Astana||UACN
UAII|Shymkent||UAII
UATT|Aktyubinsk||UATT
UBBA|Baku|UBBB|UBBA
UBBA-S|Baku South|UBBA_S|UBBA-S
UCFM|Bishkek||UCFM
UCFO|Osh||UCFO
UDDD|Yerevan|UGEE|UDDD
UEEE|Yakutsk||UEEE
UGGG|Tbilisi||UGGG
UHHH|Khabarovsk|UHHH|UHHH
UHHH-1|Khabarovsk Sector 1|UHHH_1|UHHH-1
UHHH-2|Khabarovsk Sector 2|UHHH_2|UHHH-2
UHHH-3|Khabarovsk Sector 3|UHHH_3|UHHH-3
UHHH-HF|Khabarovsk Sector HF|UHHH_HF|UHHH-HF
UHMM|Magadan||UHMM
UIII|Irkutsk||UIII
UKBV|Kyiv|UKBB|UKBV
UKFV|Simferopol|UKFF|UKFV
UKDV|Dnipro||UKDV
UKLV|Lviv|UKLL|UKLV
UKOV|Odesa|UKOO|UKOV
UKR|Ukraine||UKR
ULLL|Sankt-Peterburg ACC Sankt-Peterburg FIR - Peterburg|ULLL|ULLL
ULLL-AM|Sankt-Peterburg ACC sectors Arkhangelsk, Murmansk, Naryan-Mar, Oceanic - Peterburg|ULLL_AM|ULLL-AM
ULLL-AR|Sankt-Peterburg ACC sector Arkhangelsk - Peterburg|ULLL_AR|ULLL-AR
ULLL-MO|Sankt-Peterburg ACC sector Oceanic - Peterburg|ULLL_MO|ULLL-MO
ULLL-MR|Sankt-Peterburg ACC sector Murmansk - Peterburg|ULLL_MR|ULLL-MR
ULLL-NM|Sankt-Peterburg ACC sector Naryan-Mar - Peterburg|ULLL_NM|ULLL-NM
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_SW|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R1|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R2|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R3|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R4|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R5|ULLL-R
ULLL-R|Sankt-Peterburg ACC sector Peterburg - Peterburg|ULLL_R6|ULLL-R
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_S|ULLL-S
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_SC|ULLL-S
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_S1|ULLL-S
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_S2|ULLL-S
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_S3|ULLL-S
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_S4|ULLL-S
ULLL-S|Sankt-Peterburg ACC sector Syktyvkar - Peterburg|ULLL_S5|ULLL-S
ULLL-W|Sankt-Peterburg ACC sector Vologda - Peterburg|ULLL_W|ULLL-W
ULLL-W|Sankt-Peterburg ACC sector Vologda - Peterburg|ULLL_W1|ULLL-W
ULLL-W|Sankt-Peterburg ACC sector Vologda - Peterburg|ULLL_W2|ULLL-W
ULLL-KT|Sankt-Peterburg ACC sector Kotlas - Peterburg|ULLL_KT|ULLL-KT
ULLL-WK|Sankt-Peterburg ACC sectors Kotlas, Vologda - Peterburg|ULLL_WK|ULLL-WK
UMKK|Kaliningrad||UMKK
UMMV|Minsk|UMMM|UMMV
UNKL|Krasnoyarsk||UNKL
UNNT|Novosibirsk||UNNT
URRV|Rostov||URRV
USSV|Yekaterinburg ACC - Ural||USSV
USTV|Tyumen||USTV
UTAA|Ashkhabad||UTAA
UTAK|Turkmenbashy||UTAK
UTAT|Dashkhovuz||UTAT
UTAV|Turkmenabat||UTAV
UTDD|Dushanbe||UTDD
UTSD|Samarkand||UTSD
UTTR|Tashkent||UTTR
UUWV|Moscow||UUWV
UUWV-N|Moscow ACC sector Combined North - Moscow|UUWV_N|UUWV-N
UUWV-S|Moscow ACC sector Combined South - Moscow|UUWV_S|UUWV-S
UUWV-NW|Moscow ACC sector North - Moscow|UUWV_NW|UUWV-NW
UUWV-NE|Moscow ACC sector Gorky - Moscow|UUWV_NE|UUWV-NE
UUWV-SE|Moscow ACC sectors Penza and Voronezh - Moscow|UUWV_SE|UUWV-SE
UUWV-E|Moscow ACC sector Penza - Moscow|UUWV_E|UUWV-E
UUWV-SW|Moscow ACC sector South-West - Moscow|UUWV_SW|UUWV-SW
UUWV-W|Moscow ACC sector West - Moscow|UUWV_W|UUWV-W
UWWW|Samara||UWWW
VAAH|Ahmedabad||VAAH
VABB|Mumbai ACC - Mumbai||VABB
VABF|Mumbai||VABF
VABX|Mumbai Oceanic||VABX
VANP|Nagpur||VANP
VCCF|Colombo||VCCF
VDPF|Phnom Penh||VDPF
VEBN|Varanasi||VEBN
VECC|Kolkata ACC - Kolkata||VECC
VECC-B|Kolkata (Bhubneshwar) ACC - Kolkata||VECC-B
VECC-R|Kolkata (Raipur) ACC - Kolkata||VECC-R
VECF|Kolkata||VECF
VECX|Kolkata Oceanic||VECX
VEGF|Guwahati||VEGF
VGFR|Dhaka||VGFR
VHHK|Hong Kong|HKG|VHHK
VIDF|Delhi||VIDF
VIDP|Delhi ACC - Delhi||VIDP
VLVT|Vientiane||VLVT
VNSM|Kathmandu||VNSM
VOBL|Bengaluru||VOBL
VOCI|Cochin||VOCI
VOHS|Shamshabad (Hyderabad)||VOHS
VOMF|Chennai||VOMF
VOML|Mangalore||VOML
VOMM|Chennai ACC - Chennai||VOMM
VOMX|Chennai Oceanic||VOMX
VOTV|Trivandrum||VOTV
VRMF|Male||VRMF
VTBB|Bangkok||VTBB
VVCL|Mekong|VCL|VVCL
VVHN|Hanoi||VVHN
VVHM|Ho Chi Minh||VVHM
VYYF|Yangon||VYYF
WAAF|Ujung Pandang||WAAF
WAAF-B|Ujung Pandang (Bali)|WAAF_B|WAAF-B
WAAF-W|Ujung Pandang (West)|WAAF_W|WAAF-W
WAAF-E|Ujung Pandang (East)|WAAF_E|WAAF-E
WBFC|Kota Kinabalu||WBFC
WBGG|Kuching||WBGG
WIIF|Jakarta||WIIF
WIIF-N|Jakarta (North)|WIIF_N|WIIF-N
WIIF-W|Jakarta (West)|WIIF_W|WIIF-W
WIIF-E|Jakarta (East)|WIIF_E|WIIF-E
WMFC|Kuala Lumpur||WMFC
WSJC|Singapore||WSJC
YARA|Brisbane (Arafura) 133.7* (125.7)|BN-ARA|YARA
YARL|Brisbane (Armidale) 130.9|BN-ARL|YARL
YASP|Melbourne (Alice Springs) 128.85|ML-ASP|YASP
YASW|Melbourne (Alice Springs West) 131.8* (128.85)|ML-ASW|YASW
YAUG|Melbourne (Augusta) 127.05* (123.05)|ML-AUG|YAUG
YBAR|Brisbane (Barra) 123.8* (120.15)|BN-BAR|YBAR
YBIK|Melbourne (Bindook) 129.8|ML-BIK|YBIK
YBKE|Melbourne (Bourke) 128.2* (128.85)|ML-BKE|YBKE
YBLA|Melbourne (Benalla) 132.2* (123.75)|ML-BLA|YBLA
YBUR|Brisbane (Burnett) 123.0* (134.2)|BN-BUR|YBUR
YCNK|Brisbane (Cessnock) 123.4* (130.9)|BN-CNK|YCNK
YCOL|Brisbane Radio (Coral) 133.15* (124.65)|BN-COL|YCOL
YCRS|Melbourne (Cross) 135.8* (133.9)|ML-CRS|YCRS
YCVN|Brisbane (Carnarvon) 133.8* (125.7)|BN-CVN|YCVN
YDOS|Brisbane (Downs) 135.6* (134.2)|BN-DOS|YDOS
YELW|Melbourne (Eildon Weir) 123.75|ML-ELW|YELW
YESP|Melbourne (Esperance) 123.95* (128.85)|ML-ESP|YESP
YFLD|Brisbane Radio (Flinders) 132.85* (124.65)|BN-FLD|YFLD
YFOR|Melbourne (Forest) 132.7* (128.85)|ML-FOR|YFOR
YGEL|Melbourne (Geraldton) 134.2* (133.9)|ML-GEL|YGEL
YGOL|Brisbane (Gold Coast) 130.4* (134.2)|BN-GOL|YGOL
YGTH|Melbourne (Griffith) 122.75* (134.325)|ML-GTH|YGTH
YGUN|Melbourne (Gundagai) 128.4* (129.8)|ML-GUN|YGUN
YGVE|Melbourne (Grove) 133.8* (133.9)|ML-GVE|YGVE
YHUO|Melbourne (Huon) 122.6|ML-HUO|YHUO
YHWE|Brisbane Radio (Howe) 124.95* (124.65)|BN-HWE|YHWE
YHYD|Melbourne (Hyden) 118.2* (133.9)|ML-HYD|YHYD
YIND|Brisbane Radio (Indian) 129.25|ML-IND|YIND
YINE|Brisbane Radio (Indian East) 123.65* (129.25)|ML-INE|YINE
YINL|Brisbane (Inverell) 134.2|BN-INL|YINL
YINS|Brisbane Radio (Indian South) 123.2* (129.25)|ML-INS|YINS
YISA|Brisbane (Isa) 125.7|BN-ISA|YISA
YJAR|Melbourne (Jarrah) 120.3* (133.9)|ML-JAR|YJAR
YKAT|Melbourne (Katomba) 133.5* (134.325)|ML-KAT|YKAT
YKEN|Brisbane (Kennedy) 120.15|BN-KEN|YKEN
YKIY|Brisbane (Kimberley) 133.4* (133.2)|BN-KIY|YKIY
YKPL|Brisbane (Keppel) 125.9* (134.2)|BN-KPL|YKPL
YLEA|Melbourne (Leeman) 122.4* (133.9)|ML-LEA|YLEA
YMDE|Brisbane (Mudgee) 133.0* (130.9)|BN-MDE|YMDE
YMEK|Melbourne (Meekatharra) 132.0* (134.0)|ML-MEK|YMEK
YMLD|Brisbane (Maitland) 132.35* (130.9)|BN-MLD|YMLD
YMNN|Brisbane (Manning) 130.1* (130.9)|BN-MNN|YMNN
YMTK|Melbourne (Mount) 133.7* (134.0)|ML-MTK|YMTK
YMUN|Melbourne (Mungo) 132.6* (134.325)|ML-MUN|YMUN
YMZI|Melbourne (Menzies) 134.3* (134.0)|ML-MZI|YMZI
YNEW|Melbourne (Newman) 125.4* (134.0)|ML-NEW|YNEW
YNSA|Brisbane (Noosa) 124.1* (134.2)|BN-NSA|YNSA
YOCN|Brisbane (Ocean) 128.6* (130.9)|BN-OCN|YOCN
YOLW|Melbourne (Onslow) 134.0|ML-OLW|YOLW
YOXL|Melbourne (Oxley) 128.5* (134.325)|ML-OXL|YOXL
YPAR|Melbourne (Paraburdoo) 133.5* (134.0)|ML-PAR|YPAR
YPIY|Melbourne (Pingelly) 133.9|ML-PIY|YPIY
YPOT|Melbourne (Port) 127.0* (134.0)|ML-POT|YPOT
YSDY|Brisbane (Straddy) 134.3* (134.2)|BN-SDY|YSDY
YSNO|Melbourne (Snowy) 124.0* (123.75)|ML-SNO|YSNO
YSTR|Brisbane (Sturt) 134.4* (133.2)|BN-STR|YSTR
YSWY|Brisbane (Swampy) 133.2* (120.15)|BN-SWY|YSWY
YTBD|Melbourne (Tailem Bend) 123.05|ML-TBD|YTBD
YTBP|Brisbane (Tabletop) 120.55* (120.15)|BN-TBP|YTBP
YTRT|Brisbane (Territory) 133.2|BN-TRT|YTRT
YTSN|Brisbane Radio (Tasman) 124.65|BN-TSN|YTSN
YWAR|Melbourne (Warburton) 124.9* (128.85)|ML-WAR|YWAR
YWEG|Brisbane (Warrego) 132.45* (125.7)|BN-WEG|YWEG
YWOL|Melbourne (Wollongong) 125.0* (129.8)|ML-WOL|YWOL
YWON|Melbourne (Wonthaggi) 135.3* (134.325)|ML-WON|YWON
YWRA|Melbourne (Woomera) 132.9* (128.85)|ML-WRA|YWRA
YYWE|Melbourne (Yarrowee) 134.325|ML-YWE|YYWE
ZBPE|Beijing||ZBPE
ZBAA|Beijing ACC - Beijing||ZBAA
ZBAA-N|Beijing ACC North High Sector - Beijing|ZBAA_N|ZBAA-N
ZBAA-S|Beijing ACC South High Sector - Beijing|ZBAA_S|ZBAA-S
ZBAA-W|Beijing ACC West High Sector - Beijing|ZBAA_W|ZBAA-W
ZBAA-C|Beijing ACC Central Sector - Beijing|ZBAA_C|ZBAA-C
ZBHH|Hohhot ACC - Beijing|ZBHH|ZBHH
ZHCC|Zhengzhou ACC - Wuhan||ZHCC
ZHHH|Wuhan ACC - Wuhan||ZHHH
ZHWH|Wuhan||ZHWH
ZGHA|Changsha ACC - Guangzhou||ZGHA
ZGNN|Nanning ACC - Guangzhou||ZGNN
ZGGG|Guangzhou ACC - Guangzhou||ZGGG
ZGZU|Guangzhou|ZGZU|ZGZU
ZJSA|Sanya||ZJSA
ZJSY-L|Sanya ACC Land Sector - Sanya|ZJSY_L|ZJSY-L
ZJSY-O|Sanya ACC Oceanic Sector - Sanya|ZJSY_O|ZJSY-O
ZKKP|Pyongyang||ZKKP
ZLHW|Lanzhou||ZLHW
ZLLL|Lanzhou ACC - Lanzhou|ZLLL|ZLLL
ZLXY|Xi'an ACC - Lanzhou||ZLXY
ZULS|Lhasa ACC - Kunming||ZULS
ZPKM|Kunming||ZPKM
ZSHA|Shanghai|ZSHA|ZSHA
ZSSS|Shanghai ACC - Shanghai||ZSSS
ZSSS-N|Shanghai ACC North High Sector - Shanghai|ZSSS_N|ZSSS-N
ZSSS-S|Shanghai ACC South High Sector - Shanghai|ZSSS_S|ZSSS-S
ZSSS-W|Shanghai ACC West High Sector - Shanghai|ZSSS_W|ZSSS-W
ZSSS-C|Shanghai ACC Central High Sector - Shanghai|ZSSS_C|ZSSS-C
ZSQD|Qingdao ACC - Shanghai||ZSQD
ZSJN|Jinan ACC - Shanghai||ZSJN
ZSOF|Hefei ACC - Shanghai||ZSOF
ZSCN|Nanchang ACC - Shanghai||ZSCN
ZSAM|Xiamen ACC - Shanghai||ZSAM
ZUUU|Chengdu ACC - Kunming||ZUUU
ZUGY|Guiyang ACC - Kunming||ZUGY
ZPPP|Kunming ACC - Kunming||ZPPP
ZWUQ|Urumqi|ZWUQ|ZWUQ
ZWWW-N|Urumqi ACC North Sector- Urumqi|ZWWW_N|ZWWW-N
ZWWW-S|Urumqi ACC South Sector- Urumqi|ZWWW_S|ZWWW-S
ZYSH|Shenyang||ZYSH
ZYTX|Shenyang ACC - Shenyang||ZYTX
ZYHB|Harbin ACC - Shenyang||ZYHB
ZYTL|Dalian ACC - Shenyang||ZYTL
ZMUB|Ulaanbaatar||ZMUB
ZMUB-A|Ulaanbaatar ACC Altai Sector - Ulaanbaatar|ZMUB_A|ZMUB-A
ZMUB-B|Ulaanbaatar ACC Bayan Sector - Ulaanbaatar|ZMUB_B|ZMUB-B
ZMUB-C|Ulaanbaatar ACC Central Sector - Ulaanbaatar|ZMUB_C|ZMUB-C
ZMUB-D|Ulaanbaatar ACC Dornod Sector - Ulaanbaatar|ZMUB_D|ZMUB-D
ZMUB-G|Ulaanbaatar ACC Gobi Sector - Ulaanbaatar|ZMUB_G|ZMUB-G
ZMUB-M|Ulaanbaatar ACC Muren Sector - Ulaanbaatar|ZMUB_M|ZMUB-M
